age workclass education_num occupation sex label
state1 state0 state1 state1 state0 state0
state1 state0 state1 state1 state1 state1
state1 state0 state0 state1 state0 state0
state1 state0 state1 state1 state0 state1
state1 state0 state1 state0 state0 state0
state0 state0 state0 state0 state1 state0
state1 state0 state1 state0 state1 state0
state1 state0 state1 state0 state0 state1
state1 state0 state1 state1 state1 state0
state1 state0 state0 state0 state1 state0
state1 state1 state1 state1 state1 state1
state1 state1 state1 state1 state0 state0
state1 state0 state1 state0 state1 state1
state0 state0 state0 state0 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state1 state1 state0 state1
state1 state0 state1 state1 state1 state1
state1 state0 state1 state1 state1 state0
state1 state0 state0 state0 state0 state0
state1 state0 state1 state1 state1 state0
state1 state1 state1 state0 state1 state0
state1 state0 state1 state1 state1 state1
state0 state0 state1 state1 state1 state0
state1 state0 state1 state1 state1 state0
state1 state0 state1 state0 state1 state1
state1 state0 state0 state0 state0 state0
state1 state1 state1 state1 state1 state1
state1 state0 state0 state0 state0 state0
state0 state1 state1 state1 state1 state1
state1 state1 state0 state0 state1 state0
state1 state0 state0 state1 state1 state0
state1 state0 state0 state0 state0 state0
state0 state0 state0 state0 state1 state0
state0 state0 state1 state1 state1 state0
state1 state0 state1 state0 state1 state0
state1 state1 state0 state1 state1 state0
state1 state0 state1 state0 state1 state0
state1 state1 state1 state1 state1 state1
state1 state0 state1 state1 state1 state1
state1 state1 state1 state1 state1 state1
state1 state0 state1 state0 state1 state1
state0 state0 state0 state0 state1 state0
state1 state1 state0 state1 state1 state0
state0 state0 state0 state0 state1 state0
state1 state0 state0 state0 state0 state0
state0 state0 state0 state0 state0 state0
state1 state1 state0 state0 state1 state1
state1 state0 state1 state0 state1 state0
state1 state1 state1 state1 state0 state1
state1 state0 state1 state0 state1 state0
state1 state0 state0 state0 state0 state0
state1 state0 state1 state0 state0 state1
state0 state0 state1 state0 state1 state1
state1 state0 state0 state1 state1 state0
state1 state0 state1 state1 state0 state0
state1 state0 state0 state0 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state0 state1 state0 state0
state1 state0 state0 state0 state1 state0
state1 state0 state1 state0 state1 state0
state1 state0 state1 state0 state1 state0
state1 state0 state1 state0 state1 state0
state1 state0 state1 state0 state0 state0
state1 state0 state0 state0 state0 state0
state1 state0 state1 state0 state1 state1
state1 state0 state1 state0 state1 state1
state0 state0 state1 state0 state0 state0
state1 state1 state1 state1 state1 state1
state1 state0 state0 state0 state0 state0
state1 state1 state1 state1 state1 state1
state0 state0 state0 state0 state1 state0
state1 state1 state1 state1 state0 state0
state1 state0 state1 state0 state1 state0
state0 state0 state1 state1 state0 state0
state1 state0 state1 state1 state1 state0
state1 state1 state1 state1 state0 state1
state1 state0 state1 state0 state1 state0
state1 state0 state0 state0 state0 state0
state1 state0 state1 state0 state1 state1
state0 state0 state0 state0 state1 state0
state1 state0 state0 state0 state0 state0
state1 state0 state1 state0 state1 state0
state1 state1 state0 state0 state1 state0
state1 state0 state1 state1 state1 state0
state1 state0 state0 state1 state1 state0
state1 state1 state1 state1 state1 state0
state0 state0 state1 state1 state1 state0
state1 state1 state1 state1 state1 state1
state1 state1 state1 state1 state1 state1
state1 state1 state1 state1 state0 state0
state1 state0 state1 state0 state1 state1
state1 state0 state1 state0 state1 state0
state1 state0 state1 state0 state1 state0
state0 state0 state1 state0 state0 state0
state1 state0 state1 state0 state1 state0
state0 state0 state0 state0 state1 state0
state0 state0 state1 state1 state0 state0
state1 state0 state1 state1 state0 state0
state1 state0 state0 state0 state1 state1
state1 state0 state0 state0 state1 state0
state1 state0 state1 state1 state1 state1
state1 state0 state1 state1 state1 state1
state1 state0 state1 state0 state1 state0
state1 state0 state1 state1 state1 state1
state1 state0 state1 state0 state0 state0
state1 state0 state0 state0 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state0 state0 state0 state0
state0 state0 state1 state1 state1 state0
state1 state0 state0 state1 state1 state0
state1 state0 state1 state1 state1 state1
state1 state1 state1 state1 state0 state0
state1 state0 state0 state0 state1 state0
state0 state0 state1 state1 state1 state0
state0 state0 state0 state0 state1 state0
state0 state0 state1 state0 state1 state0
state1 state0 state0 state0 state0 state0
state0 state0 state0 state0 state1 state0
state0 state1 state1 state0 state1 state1
state1 state0 state0 state0 state1 state0
state1 state0 state1 state0 state1 state1
state0 state0 state0 state0 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state1 state1 state1 state1
state1 state0 state1 state1 state0 state0
state0 state0 state0 state0 state1 state0
state1 state0 state1 state0 state1 state1
state0 state1 state1 state1 state1 state1
state0 state0 state1 state1 state1 state0
state1 state0 state1 state1 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state1 state0 state1 state0
state1 state0 state0 state0 state1 state0
state1 state1 state1 state1 state1 state0
state1 state1 state0 state0 state1 state0
state1 state0 state1 state1 state1 state1
state1 state1 state1 state0 state1 state0
state1 state0 state1 state0 state1 state1
state1 state0 state0 state0 state1 state0
state0 state0 state0 state0 state0 state0
state1 state1 state1 state1 state1 state1
state1 state0 state0 state0 state1 state0
state1 state1 state1 state1 state1 state1
state1 state0 state1 state1 state1 state1
state1 state0 state1 state1 state1 state0
state1 state0 state1 state0 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state1 state0 state1 state0
state1 state0 state1 state0 state1 state0
state0 state0 state1 state0 state1 state0
state0 state0 state1 state0 state0 state0
state1 state0 state1 state1 state0 state0
state1 state1 state1 state1 state1 state1
state1 state0 state1 state0 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state1 state0 state1 state0
state1 state0 state1 state0 state0 state0
state1 state1 state1 state1 state1 state0
state1 state1 state1 state1 state0 state0
state0 state0 state0 state0 state1 state0
state1 state0 state0 state1 state1 state1
state1 state0 state0 state0 state1 state1
state1 state0 state0 state0 state1 state0
state1 state0 state1 state1 state1 state1
state1 state0 state0 state0 state1 state0
state1 state0 state1 state0 state1 state1
state1 state0 state1 state0 state1 state1
state1 state0 state0 state0 state1 state0
state0 state1 state0 state0 state1 state0
state1 state0 state0 state0 state1 state0
state0 state0 state0 state0 state0 state0
state1 state0 state1 state0 state0 state0
state1 state0 state0 state0 state0 state0
state1 state0 state1 state1 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state1 state1 state1 state1
state1 state0 state0 state0 state1 state1
state1 state0 state1 state1 state1 state1
state1 state0 state0 state0 state1 state0
state1 state0 state0 state0 state0 state0
state1 state0 state1 state0 state1 state0
state1 state0 state1 state0 state0 state1
state0 state1 state1 state1 state0 state0
state1 state0 state1 state1 state1 state1
state1 state0 state1 state1 state1 state1
state1 state0 state1 state1 state1 state0
state1 state0 state0 state0 state1 state1
state1 state0 state0 state0 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state0 state0 state0 state0
state1 state0 state1 state0 state0 state0
state0 state0 state1 state0 state1 state0
state0 state0 state0 state0 state1 state0
state1 state0 state1 state0 state1 state0
state1 state0 state1 state0 state1 state0
state0 state0 state1 state0 state1 state0
state1 state1 state1 state1 state1 state1
state1 state0 state0 state0 state0 state1
state1 state0 state1 state1 state1 state0
state0 state0 state0 state0 state0 state0
state1 state0 state0 state0 state1 state0
state0 state0 state1 state0 state1 state1
state1 state0 state1 state1 state1 state1
state1 state0 state0 state0 state1 state1
state0 state0 state0 state0 state1 state0
state1 state0 state0 state0 state1 state1
state1 state0 state1 state0 state1 state0
state1 state0 state1 state1 state1 state1
state1 state0 state0 state1 state1 state0
state1 state0 state1 state0 state1 state1
state1 state0 state0 state1 state0 state0
state1 state0 state1 state1 state0 state0
state1 state0 state0 state0 state1 state0
state1 state1 state1 state0 state1 state0
state1 state0 state1 state0 state1 state0
state1 state0 state1 state1 state1 state1
state1 state1 state1 state1 state0 state0
state1 state0 state1 state1 state0 state0
state0 state0 state1 state0 state0 state0
state1 state0 state0 state0 state1 state0
state1 state0 state0 state1 state1 state1
state1 state0 state0 state0 state0 state0
state1 state1 state1 state1 state0 state1
state0 state1 state1 state1 state1 state0
state1 state0 state0 state0 state0 state0
state1 state1 state0 state0 state1 state0
state1 state0 state0 state0 state0 state0
state0 state0 state1 state0 state1 state0
state1 state0 state0 state0 state1 state1
state1 state0 state1 state0 state1 state1
state1 state0 state0 state0 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state0 state0 state0 state0
state1 state1 state1 state1 state0 state1
state1 state0 state1 state0 state0 state0
state1 state1 state1 state1 state0 state0
state1 state0 state0 state0 state1 state0
state1 state1 state1 state1 state1 state1
state1 state0 state1 state0 state1 state0
state1 state0 state0 state0 state0 state0
state1 state0 state1 state1 state0 state0
state1 state0 state1 state1 state1 state0
state0 state0 state1 state1 state0 state0
state0 state0 state1 state0 state0 state0
state1 state1 state1 state1 state0 state0
state0 state0 state1 state1 state0 state0
state1 state0 state1 state0 state1 state1
state1 state0 state1 state0 state1 state1
state0 state0 state1 state1 state1 state0
state1 state0 state1 state1 state0 state0
state0 state1 state1 state0 state0 state0
state1 state0 state0 state0 state0 state0
state1 state1 state1 state1 state1 state1
state1 state0 state0 state0 state1 state0
state1 state1 state1 state1 state0 state0
state0 state0 state0 state0 state1 state0
state1 state1 state1 state1 state1 state1
state1 state0 state0 state0 state0 state0
state1 state1 state1 state1 state1 state1
state1 state0 state1 state1 state0 state0
state1 state0 state0 state1 state0 state1
state1 state0 state1 state1 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state1 state1 state1 state1
state1 state0 state1 state0 state1 state0
state0 state0 state1 state0 state1 state0
state1 state0 state0 state0 state0 state0
state1 state0 state1 state1 state1 state0
state0 state0 state0 state1 state1 state0
state1 state0 state1 state0 state1 state0
state0 state0 state1 state0 state1 state0
state1 state1 state1 state0 state1 state1
state1 state0 state1 state1 state1 state0
state1 state0 state0 state0 state1 state0
state1 state0 state0 state1 state1 state0
state1 state0 state1 state1 state1 state0
state1 state0 state0 state0 state1 state0
state1 state1 state1 state1 state1 state0
state0 state0 state0 state0 state1 state0
state1 state0 state1 state0 state1 state1
state1 state1 state1 state1 state1 state1
state1 state0 state1 state0 state0 state0
state0 state0 state1 state1 state1 state1
state1 state1 state0 state0 state1 state0
state1 state0 state1 state1 state0 state0
state1 state0 state1 state1 state0 state1
state0 state0 state0 state0 state1 state0
state1 state0 state1 state1 state0 state0
state1 state0 state0 state0 state1 state1
state1 state0 state1 state1 state1 state1
state0 state0 state1 state0 state1 state0
state1 state0 state1 state0 state1 state1
state1 state0 state1 state0 state1 state1
